identification,age,gender,height,weight,BMI,retired,input_number,Address
02-009,78,female,165,78,0.472727273,N,26,"980 Paper Avenue, Pennsylvania, 18503"
02-010,62,female,164,79,0.481707317,N,27,123 Dragons Road
02-014,66,female,171,85,0.497076023,N,28,768 City Parkway
02-015,80,female,162,75,0.462962963,N,29,1209 South Street
02-019,74,female,158,100,0.632911392,No,30,98 Clue Drive
02-020,60,female,174,72,0.413793103,Y,31,123 Middle Earth
02-021,65,female,158,79,0.5,No,32,"25th Main Street, New York"
02-022,66,female,157,85,0.541401274,Yes,33,"612 Shire Lane, Shire"
02-024,66,female,160,67,0.41875,Yes,34,2394 Hogwarts Avenue
02-025,65,female,156,68,0.435897436,Y,35,2039 Main Street
04-001,71,female,162,67,0.413580247,No,36,343 City Parkway
04-002,72,female,173,95,0.549132948,Yes,37,214 HR Avenue
04-003,60,female,173,72,0.416184971,Yes,38,2395 Hogwarts Avenue
04-004,61,female,170,89,0.523529412,Yes,39,"121 Paper Avenue, Pennsylvania"
04-006,38,female,160,70,0.4375,No,40,3498 Super Lane
01-002,77,male,188,83,0.441489362,N,41,3498 Super Lane
01-003,66,male,184,105,0.570652174,N,42,"910 Tatooine Road, Tatooine"
01-006,75,male,174,97,0.557471264,Y,43,"910 Tatooine Road, Tatooine"
01-007,65,male,172,100,0.581395349,Y,44,"980 Paper Avenue, Pennsylvania, 18503"
01-008,69,male,175,128,0.731428571,Yes,45,"123 Shire Lane, Shire"
01-009,71,male,186,77,0.413978495,Yes,46,93 West Main Street
01-010,50,male,178,92,0.516853933,Y,47,298 Drugs Driveway
01-011,70,male,175,73,0.417142857,N,48,"980 Paper Avenue, Pennsylvania, 18503"
01-013,51,male,175,95,0.542857143,Yes,49,123 Dragons Road
01-016,69,male,168,89,0.529761905,No,50,768 City Parkway
01-017,66,male,170,85,0.5,No,51,1209 South Street
01-025,55,male,174,88,0.505747126,No,52,98 Clue Drive
01-026,65,male,180,78,0.433333333,No,53,123 Middle Earth
01-027,35,male,183,81,0.442622951,N,54,"25th Main Street, New York"
01-029,61,male,174,103,0.591954023,Yes,55,"612 Shire Lane, Shire"
01-032,54,male,185,90,0.486486486,Yes,56,2394 Hogwarts Avenue
01-033,56,male,180,107,0.594444444,Y,57,2039 Main Street
01-034,67,male,175,71,0.405714286,Y,58,343 City Parkway
01-036,65,male,173,90,0.520231214,Y,59,214 HR Avenue
01-037,34,male,188,114,0.606382979,No,60,2395 Hogwarts Avenue
01-039,43,male,187,81,0.43315508,Yes,61,"121 Paper Avenue, Pennsylvania"
01-040,70,male,172,80,0.465116279,yes,62,3498 Super Lane
01-042,73,male,168,77,0.458333333,Y,63,"910 Tatooine Road, Tatooine"
01-043,67,male,178,86,0.483146067,yes,64,"910 Tatooine Road, Tatooine"
01-044,76,male,174,84,0.482758621,no,65,"910 Tatooine Road, Tatooine"
01-045,43,male,185,103,0.556756757,NO,66,214 HR Avenue
01-046,54,male,179,85,0.474860335,NO,67,"123 Shire Lane, Shire"
01-048,63,male,166,64,0.385542169,YES,68,"123 Shire Lane, Shire"
01-049,62,male,186,96,0.516129032,YES,69,93 West Main Street
02-001,46,male,185,93,0.502702703,Y,70,298 Drugs Driveway
02-003,55,male,178,105,0.58988764,Y,71,"980 Paper Avenue, Pennsylvania, 18503"
02-004,44,male,178,85,0.47752809,N,72,123 Dragons Road
02-005,67,male,188,85,0.45212766,N,73,768 City Parkway
02-006,70,male,175,62,0.354285714,No,74,1209 South Street
02-008,74,male,178,85,0.47752809,No,75,98 Clue Drive
02-011,53,male,200,140,0.7,Yes,76,123 Middle Earth
